"Sample Name"	"Protocol REF"	"Parameter Value[randomized preparation number]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[aliquot number]"	"Term Source REF"	"Term Accession Number"	"Comment[EI analysis notes]"	"Comment[GC analysis notes]"	"Comment[preparation notes]"	"Extract Name"	"Labeled Extract Name"	"Protocol REF"	"Parameter Value[chromatography column]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[chromatography instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[mass spectrometry instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[randomized analysis order]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[block]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Index]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[index of position]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[order]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[order old]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[ionization mode]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Factor Value[session]"	"Term Source REF"	"Term Accession Number"	"Factor Value[regimen]"	"Term Source REF"	"Term Accession Number"	"Comment[regimen]"	"Factor Value[time point]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[day]"	"Term Source REF"	"Term Accession Number"	"Factor Value[volunteer number]"	"Term Source REF"	"Term Accession Number"
"87"	"LCMS preparation"	"266"	""	""	"3"	""	""	""	""	""	"0212A087"	"0212A087"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"87"	""	""	"2"	""	""	"116"	""	""	"235"	""	""	"112"	""	""	"29"	""	""	"negative mode"	""	""	"0212A087"	"GSK_neg_block2_54r.cdf"	"1"	""	""	"no exercice and food intake"	""	""	"A"	"12"	"hour"	""	""	"1"	""	""	"2"	""	""
"9"	"LCMS preparation"	"46"	""	""	""	""	""	""	""	""	"0612B009"	"0612B009"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"9"	""	""	"1"	""	""	"16"	""	""	"27"	""	""	"13"	""	""	"22"	""	""	"negative mode"	""	""	"0612B009"	"GSK_neg_block3_71.cdf"	"1"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"12"	"hour"	""	""	"1"	""	""	"6"	""	""
"203"	"LCMS preparation"	"285"	""	""	""	""	""	""	""	""	"0712C203"	"0712C203"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"203"	""	""	"3"	""	""	"264"	""	""	"491"	""	""	"260"	""	""	"85"	""	""	"negative mode"	""	""	"0712C203"	"GSK_neg_block3_81.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"12"	"hour"	""	""	"1"	""	""	"7"	""	""
"269"	"LCMS preparation"	"242"	""	""	""	""	""	""	""	""	"0812C269"	"0812C269"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"269"	""	""	"4"	""	""	"350"	""	""	"684"	""	""	"346"	""	""	"78"	""	""	"negative mode"	""	""	"0812C269"	"GSK_neg_block2_40r.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"12"	"hour"	""	""	"1"	""	""	"8"	""	""
"240"	"LCMS preparation"	"198"	""	""	""	""	""	""	""	""	"0912C240"	"0912C240"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"240"	""	""	"4"	""	""	"313"	""	""	"647"	""	""	"309"	""	""	"41"	""	""	"negative mode"	""	""	"0912C240"	"GSK_neg_block2_60r.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"12"	"hour"	""	""	"1"	""	""	"9"	""	""
"138"	"LCMS preparation"	"227"	""	""	""	""	""	""	""	""	"1016A138"	"1016A138"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"138"	""	""	"2"	""	""	"180"	""	""	"300"	""	""	"176"	""	""	"94"	""	""	"negative mode"	""	""	"1016A138"	"GSK_neg_block4_70.cdf"	"1"	""	""	"no exercice and food intake"	""	""	"A"	"16"	"hour"	""	""	"1"	""	""	"10"	""	""
"47"	"LCMS preparation"	"264"	""	""	""	""	""	""	""	""	"1416D047"	"1416D047"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"47"	""	""	"1"	""	""	"62"	""	""	"74"	""	""	"59"	""	""	"69"	""	""	"negative mode"	""	""	"1416D047"	"GSK_neg_block1_90r.cdf"	"1"	""	""	"no food intake; no exercise"	""	""	"D"	"16"	"hour"	""	""	"1"	""	""	"14"	""	""
"139"	"LCMS preparation"	"139"	""	""	""	""	""	""	""	""	"1516C139"	"1516C139"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"139"	""	""	"2"	""	""	"181"	""	""	"301"	""	""	"177"	""	""	"95"	""	""	"negative mode"	""	""	"1516C139"	"GSK_neg_block2_85r.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"16"	"hour"	""	""	"1"	""	""	"15"	""	""
"104"	"LCMS preparation"	"203"	""	""	""	""	""	""	""	""	"0116A104"	"0116A104"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"104"	""	""	"2"	""	""	"137"	""	""	"257"	""	""	"133"	""	""	"51"	""	""	"negative mode"	""	""	"0116A104"	"GSK_neg_block1_33r.cdf"	"1"	""	""	"no exercice and food intake"	""	""	"A"	"16"	"hour"	""	""	"1"	""	""	"1"	""	""
"216"	"LCMS preparation"	"58"	""	""	""	""	""	""	""	""	"0216A216"	"0216A216"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"216"	""	""	"3"	""	""	"189"	""	""	"412"	""	""	"276"	""	""	"101"	""	""	"negative mode"	""	""	"0216A216"	"GSK_neg_block4_18.cdf"	"1"	""	""	"no exercice and food intake"	""	""	"A"	"16"	"hour"	""	""	"1"	""	""	"2"	""	""
"59"	"LCMS preparation"	"177"	""	""	""	""	""	""	""	""	"0616B059"	"0616B059"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"59"	""	""	"1"	""	""	"77"	""	""	"89"	""	""	"74"	""	""	"84"	""	""	"negative mode"	""	""	"0616B059"	"GSK_neg_block4_36.cdf"	"1"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"16"	"hour"	""	""	"1"	""	""	"6"	""	""
"241"	"LCMS preparation"	"208"	""	""	""	""	""	""	""	""	"0716C241"	"0716C241"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"241"	""	""	"4"	""	""	"315"	""	""	"649"	""	""	"311"	""	""	"43"	""	""	"negative mode"	""	""	"0716C241"	"GSK_neg_block4_17.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"16"	"hour"	""	""	"1"	""	""	"7"	""	""
"128"	"LCMS preparation"	"149"	""	""	"1"	""	""	"only one sample"	"NO SAMPLE"	""	"0816C128"	"0816C128"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"128"	""	""	"2"	""	""	"167"	""	""	"287"	""	""	"163"	""	""	"81"	""	""	"negative mode"	""	""	"0816C128"	"GSK_neg_block4_66.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"16"	"hour"	""	""	"1"	""	""	"8"	""	""
"61"	"LCMS preparation"	"39"	""	""	""	""	""	""	""	""	"0916C061"	"0916C061"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"61"	""	""	"1"	""	""	"80"	""	""	"92"	""	""	"77"	""	""	"87"	""	""	"negative mode"	""	""	"0916C061"	"GSK_neg_block2_14r.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"16"	"hour"	""	""	"1"	""	""	"9"	""	""
"195"	"LCMS preparation"	"234"	""	""	""	""	""	""	""	""	"1024A195"	"1024A195"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"195"	""	""	"3"	""	""	"254"	""	""	"481"	""	""	"250"	""	""	"75"	""	""	"negative mode"	""	""	"1024A195"	"GSK_neg_block4_71.cdf"	"1"	""	""	"no exercice and food intake"	""	""	"A"	"24"	"hour"	""	""	"1"	""	""	"10"	""	""
"227"	"LCMS preparation"	"98"	""	""	""	""	""	""	""	""	"1424D227"	"1424D227"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"227"	""	""	"4"	""	""	"297"	""	""	"630"	""	""	"293"	""	""	"24"	""	""	"negative mode"	""	""	"1424D227"	"GSK_neg_block1_29r.cdf"	"1"	""	""	"no food intake; no exercise"	""	""	"D"	"24"	"hour"	""	""	"1"	""	""	"14"	""	""
"33"	"LCMS preparation"	"161"	""	""	""	""	""	""	""	""	"1524C033"	"1524C033"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"33"	""	""	"1"	""	""	"45"	""	""	"57"	""	""	"42"	""	""	"52"	""	""	"negative mode"	""	""	"1524C033"	"GSK_neg_block3_20.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"24"	"hour"	""	""	"1"	""	""	"15"	""	""
"119"	"LCMS preparation"	"112"	""	""	""	""	""	""	""	""	"0124A119"	"0124A119"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"119"	""	""	"2"	""	""	"156"	""	""	"276"	""	""	"152"	""	""	"70"	""	""	"negative mode"	""	""	"0124A119"	"GSK_neg_block2_12r.cdf"	"1"	""	""	"no exercice and food intake"	""	""	"A"	"24"	"hour"	""	""	"1"	""	""	"1"	""	""
"196"	"LCMS preparation"	"225"	""	""	""	""	""	""	""	""	"0224A196"	"0224A196"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"196"	""	""	"3"	""	""	"255"	""	""	"482"	""	""	"251"	""	""	"76"	""	""	"negative mode"	""	""	"0224A196"	"GSK_neg_block4_61.cdf"	"1"	""	""	"no exercice and food intake"	""	""	"A"	"24"	"hour"	""	""	"1"	""	""	"2"	""	""
"158"	"LCMS preparation"	"49"	""	""	""	""	""	""	""	""	"0624B158"	"0624B158"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"158"	""	""	"3"	""	""	"208"	""	""	"434"	""	""	"204"	""	""	"28"	""	""	"negative mode"	""	""	"0624B158"	"GSK_neg_block1_20r.cdf"	"1"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"24"	"hour"	""	""	"1"	""	""	"6"	""	""
"237"	"LCMS preparation"	"60"	""	""	""	""	""	""	""	""	"0724C237"	"0724C237"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"237"	""	""	"4"	""	""	"310"	""	""	"644"	""	""	"306"	""	""	"38"	""	""	"negative mode"	""	""	"0724C237"	"GSK_neg_block3_53.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"24"	"hour"	""	""	"1"	""	""	"7"	""	""
"270"	"LCMS preparation"	"205"	""	""	""	""	""	""	""	""	"0824C270"	"0824C270"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"270"	""	""	"4"	""	""	"351"	""	""	"685"	""	""	"347"	""	""	"79"	""	""	"negative mode"	""	""	"0824C270"	"GSK_neg_block2_95r.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"24"	"hour"	""	""	"1"	""	""	"8"	""	""
"181"	"LCMS preparation"	"79"	""	""	""	""	""	""	""	""	"0924C181"	"0924C181"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"181"	""	""	"3"	""	""	"237"	""	""	"464"	""	""	"233"	""	""	"58"	""	""	"negative mode"	""	""	"0924C181"	"GSK_neg_block1_52r.cdf"	"1"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"24"	"hour"	""	""	"1"	""	""	"9"	""	""
"124"	"LCMS preparation"	"220"	""	""	""	""	""	""	""	""	"1000D124"	"1000D124"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"124"	""	""	"2"	""	""	"162"	""	""	"282"	""	""	"158"	""	""	"76"	""	""	"negative mode"	""	""	"1000D124"	"GSK_neg_block2_64r.cdf"	"2"	""	""	"no food intake; no exercise"	""	""	"D"	"0"	"hour"	""	""	"1"	""	""	"10"	""	""
"101"	"LCMS preparation"	"26"	""	""	""	""	""	""	""	""	"1400A101"	"1400A101"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"101"	""	""	"2"	""	""	"134"	""	""	"254"	""	""	"130"	""	""	"48"	""	""	"negative mode"	""	""	"1400A101"	"GSK_neg_block4_69.cdf"	"2"	""	""	"no exercice and food intake"	""	""	"A"	"0"	"hour"	""	""	"1"	""	""	"14"	""	""
"114"	"LCMS preparation"	"145"	""	""	"2"	""	""	""	"NO SAMPLE"	""	"1500B114"	"1500B114"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"114"	""	""	"2"	""	""	"150"	""	""	"270"	""	""	"146"	""	""	"64"	""	""	"negative mode"	""	""	"1500B114"	"GSK_neg_block3_45.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"0"	"hour"	""	""	"1"	""	""	"15"	""	""
"243"	"LCMS preparation"	"4"	""	""	"2"	""	""	""	"NO SAMPLE"	""	"0100D243"	"0100D243"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"243"	""	""	"4"	""	""	"317"	""	""	"651"	""	""	"313"	""	""	"45"	""	""	"negative mode"	""	""	"0100D243"	"GSK_neg_block4_83.cdf"	"2"	""	""	"no food intake; no exercise"	""	""	"D"	"0"	"hour"	""	""	"1"	""	""	"1"	""	""
"136"	"LCMS preparation"	"157"	""	""	"2"	""	""	""	"NO SAMPLE"	""	"0200D136"	"0200D136"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"136"	""	""	"2"	""	""	"177"	""	""	"297"	""	""	"173"	""	""	"91"	""	""	"negative mode"	""	""	"0200D136"	"GSK_neg_block4_34.cdf"	"2"	""	""	"no food intake; no exercise"	""	""	"D"	"0"	"hour"	""	""	"1"	""	""	"2"	""	""
"115"	"LCMS preparation"	"68"	""	""	""	""	""	""	""	""	"0600C115"	"0600C115"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"115"	""	""	"2"	""	""	"151"	""	""	"271"	""	""	"147"	""	""	"65"	""	""	"negative mode"	""	""	"0600C115"	"GSK_neg_block1_75r.cdf"	"2"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"0"	"hour"	""	""	"1"	""	""	"6"	""	""
"41"	"LCMS preparation"	"129"	""	""	"2"	""	""	""	"NO SAMPLE"	"no haemolysis"	"0700B041"	"0700B041"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"41"	""	""	"1"	""	""	"55"	""	""	"67"	""	""	"52"	""	""	"62"	""	""	"negative mode"	""	""	"0700B041"	"GSK_neg_block3_30.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"0"	"hour"	""	""	"1"	""	""	"7"	""	""
"168"	"LCMS preparation"	"228"	""	""	""	""	""	""	""	""	"0800B168"	"0800B168"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"168"	""	""	"3"	""	""	"220"	""	""	"447"	""	""	"216"	""	""	"41"	""	""	"negative mode"	""	""	"0800B168"	"GSK_neg_block3_69.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"0"	"hour"	""	""	"1"	""	""	"8"	""	""
"56"	"LCMS preparation"	"257"	""	""	""	""	""	""	""	""	"0900B056"	"0900B056"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"56"	""	""	"1"	""	""	"73"	""	""	"85"	""	""	"70"	""	""	"80"	""	""	"negative mode"	""	""	"0900B056"	"GSK_neg_block4_56.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"0"	"hour"	""	""	"1"	""	""	"9"	""	""
"25"	"LCMS preparation"	"93"	""	""	""	""	""	""	""	""	"1001D025"	"1001D025"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"25"	""	""	"1"	""	""	"35"	""	""	"47"	""	""	"32"	""	""	"42"	""	""	"negative mode"	""	""	"1001D025"	"GSK_neg_block3_74.cdf"	"2"	""	""	"no food intake; no exercise"	""	""	"D"	"1"	"hour"	""	""	"1"	""	""	"10"	""	""
"224"	"LCMS preparation"	"194"	""	""	""	""	""	""	""	""	"1401A224"	"1401A224"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"224"	""	""	"4"	""	""	"293"	""	""	"626"	""	""	"289"	""	""	"20"	""	""	"negative mode"	""	""	"1401A224"	"GSK_neg_block1_77r.cdf"	"2"	""	""	"no exercice and food intake"	""	""	"A"	"1"	"hour"	""	""	"1"	""	""	"14"	""	""
"262"	"LCMS preparation"	"172"	""	""	""	""	""	""	""	""	"1501B262"	"1501B262"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"262"	""	""	"4"	""	""	"341"	""	""	"675"	""	""	"337"	""	""	"69"	""	""	"negative mode"	""	""	"1501B262"	"GSK_neg_block1_24r.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"1"	"hour"	""	""	"1"	""	""	"15"	""	""
"140"	"LCMS preparation"	"122"	""	""	""	""	""	""	""	""	"0101D140"	"0101D140"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"140"	""	""	"2"	""	""	"182"	""	""	"302"	""	""	"178"	""	""	"96"	""	""	"negative mode"	""	""	"0101D140"	"GSK_neg_block2_35r.cdf"	"2"	""	""	"no food intake; no exercise"	""	""	"D"	"1"	"hour"	""	""	"1"	""	""	"1"	""	""
"83"	"LCMS preparation"	"284"	""	""	""	""	""	""	""	""	"0201D083"	"0201D083"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"83"	""	""	"2"	""	""	"111"	""	""	"230"	""	""	"107"	""	""	"24"	""	""	"negative mode"	""	""	"0201D083"	"GSK_neg_block3_100.cdf"	"2"	""	""	"no food intake; no exercise"	""	""	"D"	"1"	"hour"	""	""	"1"	""	""	"2"	""	""
"27"	"LCMS preparation"	"10"	""	""	""	""	""	""	""	""	"0601C027"	"0601C027"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"27"	""	""	"1"	""	""	"37"	""	""	"49"	""	""	"34"	""	""	"44"	""	""	"negative mode"	""	""	"0601C027"	"GSK_neg_block1_78r.cdf"	"2"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"1"	"hour"	""	""	"1"	""	""	"6"	""	""
"20"	"LCMS preparation"	"101"	""	""	""	""	""	""	""	""	"0701B020"	"0701B020"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"20"	""	""	"1"	""	""	"28"	""	""	"40"	""	""	"25"	""	""	"35"	""	""	"negative mode"	""	""	"0701B020"	"GSK_neg_block1_48r.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"1"	"hour"	""	""	"1"	""	""	"7"	""	""
"67"	"LCMS preparation"	"14"	""	""	""	""	""	""	""	""	"0801B067"	"0801B067"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"67"	""	""	"1"	""	""	"87"	""	""	"99"	""	""	"84"	""	""	"94"	""	""	"negative mode"	""	""	"0801B067"	"GSK_neg_block2_93r.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"1"	"hour"	""	""	"1"	""	""	"8"	""	""
"279"	"LCMS preparation"	"126"	""	""	""	""	""	""	""	""	"0901B279"	"0901B279"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"279"	""	""	"4"	""	""	"362"	""	""	"696"	""	""	"358"	""	""	"90"	""	""	"negative mode"	""	""	"0901B279"	"GSK_neg_block1_19r.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"1"	"hour"	""	""	"1"	""	""	"9"	""	""
"96"	"LCMS preparation"	"272"	""	""	""	""	""	""	""	""	"1004D096"	"1004D096"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"96"	""	""	"2"	""	""	"127"	""	""	"247"	""	""	"123"	""	""	"41"	""	""	"negative mode"	""	""	"1004D096"	"GSK_neg_block4_86.cdf"	"2"	""	""	"no food intake; no exercise"	""	""	"D"	"4"	"hour"	""	""	"1"	""	""	"10"	""	""
"29"	"LCMS preparation"	"274"	""	""	"1"	""	""	"only one sample"	""	""	"1404A029"	"1404A029"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"29"	""	""	"1"	""	""	"40"	""	""	"52"	""	""	"37"	""	""	"47"	""	""	"negative mode"	""	""	"1404A029"	"GSK_neg_block1_63r.cdf"	"2"	""	""	"no exercice and food intake"	""	""	"A"	"4"	"hour"	""	""	"1"	""	""	"14"	""	""
"171"	"LCMS preparation"	"43"	""	""	""	""	""	""	""	""	"1504B171"	"1504B171"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"171"	""	""	"3"	""	""	"224"	""	""	"451"	""	""	"220"	""	""	"45"	""	""	"negative mode"	""	""	"1504B171"	"GSK_neg_block3_99.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"4"	"hour"	""	""	"1"	""	""	"15"	""	""
"31"	"LCMS preparation"	"230"	""	""	""	""	""	""	""	""	"0104D031"	"0104D031"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"31"	""	""	"1"	""	""	"42"	""	""	"54"	""	""	"39"	""	""	"49"	""	""	"negative mode"	""	""	"0104D031"	"GSK_neg_block1_92r.cdf"	"2"	""	""	"no food intake; no exercise"	""	""	"D"	"4"	"hour"	""	""	"1"	""	""	"1"	""	""
"258"	"LCMS preparation"	"138"	""	""	""	""	""	""	""	""	"0204D258"	"0204D258"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"258"	""	""	"4"	""	""	"336"	""	""	"670"	""	""	"332"	""	""	"64"	""	""	"negative mode"	""	""	"0204D258"	"GSK_neg_block3_73.cdf"	"2"	""	""	"no food intake; no exercise"	""	""	"D"	"4"	"hour"	""	""	"1"	""	""	"2"	""	""
"206"	"LCMS preparation"	"271"	""	""	""	""	""	""	""	""	"0604C206"	"0604C206"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"206"	""	""	"3"	""	""	"268"	""	""	"495"	""	""	"264"	""	""	"89"	""	""	"negative mode"	""	""	"0604C206"	"GSK_neg_block3_95.cdf"	"2"	""	""	"Utilization Training type 2 exercice(30 minutes at 60% maximum heart rate level) and food intake"	""	""	"C"	"4"	"hour"	""	""	"1"	""	""	"6"	""	""
"185"	"LCMS preparation"	"144"	""	""	""	""	""	""	""	""	"0704B185"	"0704B185"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"185"	""	""	"3"	""	""	"242"	""	""	"469"	""	""	"238"	""	""	"63"	""	""	"negative mode"	""	""	"0704B185"	"GSK_neg_block1_79r.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"4"	"hour"	""	""	"1"	""	""	"7"	""	""
"100"	"LCMS preparation"	"1"	""	""	"2"	""	""	""	"NO SAMPLE"	""	"0804B100"	"0804B100"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"100"	""	""	"2"	""	""	"132"	""	""	"252"	""	""	"128"	""	""	"46"	""	""	"negative mode"	""	""	"0804B100"	"GSK_neg_block4_33.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"4"	"hour"	""	""	"1"	""	""	"8"	""	""
"212"	"LCMS preparation"	"51"	""	""	""	""	""	""	""	""	"0904B212"	"0904B212"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"212"	""	""	"3"	""	""	"275"	""	""	"502"	""	""	"271"	""	""	"96"	""	""	"negative mode"	""	""	"0904B212"	"GSK_neg_block3_80.cdf"	"2"	""	""	"no food intake and Utilization Training type 2 exercise (30 minutes at 60% maximum heart rate level)"	""	""	"B"	"4"	"hour"	""	""	"1"	""	""	"9"	""	""
"94"	"LCMS preparation"	"72"	""	""	""	""	""	""	""	""	"1005D094"	"1005D094"	"mass spectrometry"	""	""	""	"UPLC-LTQ"	""	""	"Orbitrap-MS instrument"	""	""	"94"	""	""	"2"	""	""	"125"	""	""	"245"	""	""	"121"	""	""	"39"	""	""	"negative mode"	""	""	"1005D094"	"GSK_neg_block1_99r.cdf"	"2"	""	""	"no food intake; no exercise"	""	""	"D"	"5"	"hour"	""	""	"1"	""	""	"10"	""	""
